"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"62571","amko_ex","4","LOSS","savg1000",NA,"2-3-0drop","Pikachu ex Zebstrika","Pikachu ex Zebstrika","ursiiday2"
"62581","amko_ex","3","WIN","Yesik",NA,"1-9-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","ursiiday2"
"62591","amko_ex","2","LOSS","Alelu1234",NA,"4-6-0","Pikachu ex Zebstrika","Charizard ex Moltres ex","ursiiday2"
"62601","amko_ex","1","LOSS","infp0233",NA,"1-1-0drop","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","ursiiday2"
"62641","Yesik","7","LOSS","Math3euuss",NA,"5-5-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","ursiiday2"
"62681","Yesik","3","LOSS","amko_ex",NA,"1-9-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","ursiiday2"
"62691","Yesik","2","LOSS","climaxx123",NA,"4-6-0","Mewtwo ex Gardevoir","Pikachu ex Raichu","ursiiday2"
"6270","Yesik","1","LOSS","Frostynk",NA,"1-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"62771","LocalJanitor","4","LOSS","JuniorThePke",NA,"2-5-0drop","Ninetales Rapidash","Articuno ex","ursiiday2"
"62781","LocalJanitor","3","WIN","Jhoni",NA,"0-10-0","Ninetales Rapidash","Pikachu ex Zebstrika","ursiiday2"
"62791","LocalJanitor","2","LOSS","Rivi_game",NA,"3-2-0drop","Ninetales Rapidash","Pikachu ex Zapdos ex","ursiiday2"
"6280","LocalJanitor","1","LOSS","Nhuada",NA,"2-3-0drop","Ninetales Rapidash","Articuno ex Starmie ex","ursiiday2"
"62861","samucosano","5","LOSS","Nuggie_D",NA,"3-5-0drop","Charizard ex Moltres ex","Wigglytuff ex Tentacruel","ursiiday2"
"62871","samucosano","4","LOSS","Beater",NA,"2-8-0","Charizard ex Moltres ex","Pikachu ex Zapdos ex","ursiiday2"
"62881","samucosano","3","LOSS","scorpion11",NA,"3-4-0drop","Charizard ex Moltres ex","Articuno ex Starmie ex","ursiiday2"
"62891","samucosano","2","WIN","ContreraxD",NA,"2-3-0drop","Charizard ex Moltres ex","Venusaur ex Lilligant","ursiiday2"
"62941","erikitoh","4","LOSS","omorimaetel",NA,"2-3-0drop","Pikachu ex Zebstrika","Pikachu ex Raichu","ursiiday2"
"62951","erikitoh","3","LOSS","MetalMax",NA,"4-6-0","Pikachu ex Zebstrika","Charizard ex Moltres ex","ursiiday2"
"62961","erikitoh","2","LOSS","Arci",NA,"3-7-0","Pikachu ex Zebstrika","Marowak ex Dugtrio","ursiiday2"
"62971","erikitoh","1","WIN","Yuiitwitch",NA,"0-2-0drop","Pikachu ex Zebstrika","Articuno Dragonite","ursiiday2"
"63041","HokageGrael","4","LOSS","Mr_J",NA,"2-3-0drop","Mewtwo ex Gardevoir","Alakazam Greninja","ursiiday2"
"63051","HokageGrael","3","LOSS","HAN S",NA,"6-4-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","ursiiday2"
"63061","HokageGrael","2","LOSS","Alperen Özdemir",NA,"2-8-0","Mewtwo ex Gardevoir","Dragonite Weezing","ursiiday2"
"63071","HokageGrael","1","WIN","iHobbit",NA,"0-2-0drop","Mewtwo ex Gardevoir","Dragonite Frosmoth","ursiiday2"
"63141","SaaB","4","LOSS","Sfluna",NA,"2-4-0drop","Moltres ex Ninetales","Dragonite Frosmoth","ursiiday2"
"63151","SaaB","3","LOSS","Ertrappola78",NA,"2-3-0drop","Moltres ex Ninetales","Arbok Weezing","ursiiday2"
"63161","SaaB","2","LOSS","refresh",NA,"2-2-0drop","Moltres ex Ninetales","Pikachu ex Zapdos ex","ursiiday2"
"63171","SaaB","1","WIN","Vialia38",NA,"0-10-0","Moltres ex Ninetales","Marowak ex Primeape","ursiiday2"
"63221","YomiDee","6","LOSS","CTEM",NA,"5-5-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"63241","YomiDee","4","LOSS","Dhiaz",NA,"2-8-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"63251","YomiDee","3","LOSS","Yain",NA,"2-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63261","YomiDee","2","WIN","CorruptedData",NA,"0-3-0drop","Pikachu ex Zapdos ex","Zapdos ex Jolteon","ursiiday2"
"63271","YomiDee","1","LOSS","Hostile",NA,"1-2-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"63281","Smoeski","2","LOSS","M4ni",NA,"2-4-0drop","Articuno ex Starmie ex","Mewtwo ex Gardevoir","ursiiday2"
"63291","Smoeski","1","WIN","sadxarif",NA,"0-10-0","Articuno ex Starmie ex","Charizard ex Moltres ex","ursiiday2"
"63361","Yovman","4","LOSS","luizysbb",NA,"2-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63371","Yovman","3","LOSS","qusofia1233",NA,"3-3-0drop","Pikachu ex Zapdos ex","Moltres ex Centiskorch","ursiiday2"
"63381","Yovman","2","WIN","KAT_Dizzy",NA,"0-10-0","Pikachu ex Zapdos ex","Articuno ex Starmie ex","ursiiday2"
"63391","Yovman","1","LOSS","Lucien .SotoLamongan",NA,"2-8-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63401","Fauros","4","LOSS","skateman222 ",NA,"2-3-0drop","Dragonite Weezing","Pikachu ex Zapdos ex","ursiiday2"
"63414","Fauros","3","WIN","Savchikkzz",NA,"0-3-0drop","Dragonite Weezing","Pikachu ex Zapdos ex","ursiiday2"
"63421","Fauros","2","LOSS","HERNANSKY",NA,"1-9-0","Dragonite Weezing","Dragonite Kangaskhan","ursiiday2"
"63431","Fauros","1","LOSS","TTVGorgXD",NA,"1-9-0","Dragonite Weezing","Charizard ex Moltres ex","ursiiday2"
"63451","Binbay","9","WIN","Fndsam007",NA,"0-10-0","Ninetales Rapidash","Mewtwo ex Gardevoir","ursiiday2"
"63514","Binbay","3","LOSS","Doffy TCG",NA,"4-6-0","Ninetales Rapidash","Charizard ex Moltres ex","ursiiday2"
"63521","Binbay","2","LOSS","PrinceDillon",NA,"2-8-0","Ninetales Rapidash","Pikachu ex Zapdos ex","ursiiday2"
"63541","Venify","2","LOSS","likeollywithab",NA,"2-6-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63551","Venify","1","WIN","Brandonheat666",NA,"0-2-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"63561","YoBoyRona","2","WIN","Noah Lee",NA,"0-2-0drop","Pikachu ex Electrode","Marowak ex Sandslash","ursiiday2"
"63571","YoBoyRona","1","LOSS","mizu27",NA,"2-8-0","Pikachu ex Electrode","Marowak ex Golbat","ursiiday2"
"63581","wittawin","2","WIN","keonkeon01",NA,"0-10-0","Starmie ex Greninja","Starmie ex Greninja","ursiiday2"
"63591","wittawin","1","LOSS","MrRishi",NA,"2-8-0","Starmie ex Greninja","Starmie ex Greninja","ursiiday2"
"6360","Vinicin","2","WIN","Codicia21",NA,"0-10-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","ursiiday2"
"63614","Vinicin","1","LOSS","Myungjoon Kim",NA,"2-8-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","ursiiday2"
"63621","padoruxd","3","WIN","JudgeHolden",NA,"0-10-0","Blastoise ex Greninja","Pikachu ex Zapdos ex","ursiiday2"
"63651","mium3","1","LOSS","Enel",NA,"8-2-0","Venusaur ex","Mewtwo ex Gardevoir","ursiiday2"
"63661","Charmee","1","LOSS","ichi_p",NA,"8-2-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63671","Ayeeezy","1","LOSS","RealAsMike",NA,"8-2-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"63681","Bakug0","2","LOSS","crunchy",NA,"8-2-0","Wigglytuff ex Weezing","Pikachu ex Zapdos ex","ursiiday2"
"63691","Bakug0","1","LOSS","locowaffl3",NA,"7-3-0","Wigglytuff ex Weezing","Mewtwo ex Gardevoir","ursiiday2"
"6370","Giriboy","1","LOSS","Joseph C",NA,"5-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"63713","zero11","1","LOSS","Jano",NA,"7-3-0","Marowak ex Primeape","Pikachu ex Zapdos ex","ursiiday2"
"63721","DeevFactor","1","LOSS","Comatosis",NA,"7-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","ursiiday2"
"63731","Heyoka","1","LOSS","Marc19",NA,"7-3-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63741","thatguyinabeanie","2","LOSS","KoNoRd",NA,"4-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Electrode","ursiiday2"
"63751","thatguyinabeanie","1","LOSS","Mi203",NA,"4-1-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63761","rissa","1","LOSS","YT_YoshGaming",NA,"6-3-0drop","Articuno ex Frosmoth","Pikachu ex Zapdos ex","ursiiday2"
"63771","Acemushroom","1","LOSS","Danart",NA,"6-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"63781","Tigerbladedn","1","LOSS","soosh",NA,"4-2-0drop","Ninetales Rapidash","Starmie ex Greninja","ursiiday2"
"63791","felipescid","1","LOSS","Chip Richey",NA,"4-2-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","ursiiday2"
"6380","xochibun","1","LOSS","G3TR1Gh7",NA,"2-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"63813","rpjoca","2","LOSS","RayIgnistar",NA,"2-1-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"63831","BeoFFT","1","LOSS","Cornflex",NA,"2-1-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63841","Scudss","2","LOSS","shinon521",NA,"2-1-0drop","Articuno ex Starmie ex","Exeggutor ex Venusaur ex","ursiiday2"
"63861","UnluckyDuck","2","LOSS","gyujin",NA,"3-2-0drop","Blastoise ex Lapras ex","Mewtwo ex Gardevoir","ursiiday2"
"63871","UnluckyDuck","1","LOSS","bzkfoox",NA,"7-3-0","Blastoise ex Lapras ex","Pikachu ex Zapdos ex","ursiiday2"
"63881","Teak","2","LOSS","KuwabaraXL",NA,"5-4-1","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"63891","Teak","1","LOSS","Brunocarmona",NA,"7-2-1","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","ursiiday2"
"6390","tunihorn","2","LOSS","Izaya",NA,"8-2-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"63913","tunihorn","1","LOSS","kazma",NA,"2-2-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"63921","PkmnTrainerJoey","3","LOSS","shimobr",NA,"2-5-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","ursiiday2"
"63931","PkmnTrainerJoey","2","LOSS","KaptKerr",NA,"9-2-0","Mewtwo ex Gardevoir","Ninetales Rapidash","ursiiday2"
"63941","PkmnTrainerJoey","1","LOSS","comatthew6",NA,"7-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","ursiiday2"
"63951","Jirawat S","1","LOSS","Spiinner",NA,"5-3-0drop","Pikachu ex Zapdos ex","Exeggutor ex Beedrill","ursiiday2"
"63961","mrbradi","2","LOSS","ElwhydeParaguay",NA,"4-3-0drop","Pikachu ex Zapdos ex","Lapras ex Starmie ex","ursiiday2"
"63971","mrbradi","1","LOSS","Cartman",NA,"6-3-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"63981","Scrach","2","LOSS","barbosaa3",NA,"3-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"63991","Scrach","1","LOSS","yodada30",NA,"4-1-0drop","Mewtwo ex Gardevoir","Arbok Weezing","ursiiday2"
"6400","LastMoney","2","LOSS","Mozer",NA,"5-4-0drop","Alakazam Hypno","Mewtwo ex Gardevoir","ursiiday2"
"64011","LastMoney","1","LOSS","Raichuomega",NA,"6-3-0drop","Alakazam Hypno","Articuno ex Starmie ex","ursiiday2"
"64021","chris89","1","LOSS","gat0",NA,"6-4-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"64031","Netz","2","LOSS","VULKAN",NA,"4-4-0drop","Marowak ex Primeape","Blastoise ex Tentacruel","ursiiday2"
"64041","Netz","1","LOSS","jh0630",NA,"7-3-0","Marowak ex Primeape","Exeggutor ex Victreebel","ursiiday2"
"64051","IHaeTypos","2","LOSS","Sheedkash",NA,"6-4-0","Arbok Weezing","Pikachu ex Electrode","ursiiday2"
"64071","Niroku","3","LOSS","Jack B",NA,"2-3-0drop","Articuno ex Lapras ex","Ninetales Rapidash","ursiiday2"
"64081","Niroku","2","LOSS","greenphyrexia",NA,"3-3-0drop","Articuno ex Lapras ex","Marowak ex Primeape","ursiiday2"
"64091","Niroku","1","LOSS","Hayato",NA,"9-2-0","Articuno ex Lapras ex","Pikachu ex Zapdos ex","ursiiday2"
"64101","PakBas","1","LOSS","qre",NA,"3-2-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"641110","keropon","1","LOSS","volinator",NA,"3-2-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"64121","Suyz","1","LOSS","rean2019",NA,"3-2-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","ursiiday2"
"64131","maims123","2","LOSS","PeptoG",NA,"6-4-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"64151","Chris Stotts","1","LOSS","RuthlessRedge",NA,"3-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"64161","rikkunnjp","1","LOSS","Bombo",NA,"3-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","ursiiday2"
"64171","Pyratheon","2","LOSS","AzeL",NA,"6-4-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"64181","Pyratheon","1","LOSS","ClasSICKK",NA,"4-3-0drop","Pikachu ex Zapdos ex","Exeggutor ex Victreebel","ursiiday2"
"64191","nader .","2","LOSS","Tawmpy",NA,"4-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"64201","nader .","1","LOSS","spamandrice",NA,"3-2-0drop","Mewtwo ex Gardevoir","Ninetales Rapidash","ursiiday2"
"64217","Alecterior","2","LOSS","bhabha",NA,"5-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"64221","Alecterior","1","LOSS","LaDji",NA,"3-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"64231","BigBoySnap","1","LOSS","Sino_sawa",NA,"4-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"64241","Manji","2","LOSS","JIREN",NA,"4-3-0drop","Pikachu ex Zebstrika","Pikachu ex Electrode","ursiiday2"
"64251","Manji","1","LOSS","Koya",NA,"4-3-0drop","Pikachu ex Zebstrika","Charizard ex Moltres ex","ursiiday2"
"64261","gomess","1","LOSS","Urikus",NA,"4-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","ursiiday2"
"64271","MonkeyKingHero","1","LOSS","chrisotore2",NA,"4-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Electrode","ursiiday2"
"64281","mdartagnan","2","LOSS","FlyAsAFlygon",NA,"8-2-0","Zapdos ex Zebstrika","Pikachu ex Zapdos ex","ursiiday2"
"64291","mdartagnan","1","LOSS","LaGuigz",NA,"1-2-0drop","Zapdos ex Zebstrika","Pikachu ex Zapdos ex","ursiiday2"
"64301","Matias Morgado","3","LOSS","Gomez02",NA,"2-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","ursiiday2"
"64315","Matias Morgado","2","LOSS","BringBack1996",NA,"6-4-0","Pikachu ex Zebstrika","Charizard ex Moltres ex","ursiiday2"
"64321","Matias Morgado","1","LOSS","Ignacio Oyarzún A.",NA,"7-3-0","Pikachu ex Zebstrika","Marowak ex Pidgeot","ursiiday2"
"64331","BORY1","3","LOSS","Ralpherinos",NA,"3-3-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","ursiiday2"
"64341","BORY1","2","LOSS","Penelas_ow",NA,"4-3-0drop","Charizard ex Moltres ex","Mewtwo ex Gardevoir","ursiiday2"
"64351","BORY1","1","LOSS","XwiiT",NA,"6-4-0","Charizard ex Moltres ex","Exeggutor ex Alakazam","ursiiday2"
"64361","pabloo30","3","LOSS","Alytreta",NA,"5-4-0drop","Venusaur ex Lilligant","Marowak ex Primeape","ursiiday2"
"64371","pabloo30","2","LOSS","MoonDragon",NA,"1-3-0drop","Venusaur ex Lilligant","Mewtwo ex Gardevoir","ursiiday2"
"64381","pabloo30","1","LOSS","NinoEx",NA,"9-2-1","Venusaur ex Lilligant","Mewtwo ex Gardevoir","ursiiday2"
"64391","MindgamesTCG","2","LOSS","Abizard",NA,"6-4-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"64401","MindgamesTCG","1","LOSS","Maverick6744",NA,"5-5-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"64415","apenasjoao","2","LOSS","Shirotori",NA,"7-3-0","Pikachu ex Zapdos ex","Moltres ex Ninetales","ursiiday2"
"64421","apenasjoao","1","LOSS","nandosgude",NA,"2-3-0drop","Pikachu ex Zapdos ex","Marowak ex Sandslash","ursiiday2"
"64431","AaronFreckz","2","LOSS","knullified",NA,"4-4-0drop","Pikachu ex Zapdos ex","Alakazam Weezing","ursiiday2"
"64441","AaronFreckz","1","LOSS","waftage",NA,"6-4-0","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"64451","ViperPro","3","LOSS","Ch3ckmate",NA,"2-3-0drop","Exeggutor ex Venusaur ex","Charizard ex Moltres ex","ursiiday2"
"64461","ViperPro","2","LOSS","ponni318",NA,"3-4-0drop","Exeggutor ex Venusaur ex","Mewtwo ex Gardevoir","ursiiday2"
"64471","ViperPro","1","LOSS","ItsMik3yTime",NA,"8-2-0","Exeggutor ex Venusaur ex","Charizard ex Moltres ex","ursiiday2"
"64481","chicknnn","3","LOSS","Gallant",NA,"6-4-0","Ninetales Rapidash","Mewtwo ex Gardevoir","ursiiday2"
"64491","chicknnn","2","LOSS","SushiBurrito",NA,"3-3-0drop","Ninetales Rapidash","Mewtwo ex Gardevoir","ursiiday2"
"64501","chicknnn","1","LOSS","novit",NA,"2-2-0drop","Ninetales Rapidash","Pikachu ex Zapdos ex","ursiiday2"
"64513","ACurry","2","LOSS","MongaZone",NA,"3-4-0drop","Exeggutor ex Greninja","Articuno ex Lapras ex","ursiiday2"
"64521","ACurry","1","LOSS","tetew",NA,"5-3-0drop","Exeggutor ex Greninja","Pikachu ex Zapdos ex","ursiiday2"
"64531","juba","2","LOSS","scorpion11",NA,"3-4-0drop","Pikachu ex Zapdos ex","Articuno ex Starmie ex","ursiiday2"
"64541","juba","1","LOSS","glione",NA,"5-3-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"64551","Darkar","2","LOSS","Francisco Rodriguez Perez",NA,"1-2-0drop","Dragonite Frosmoth","Pikachu ex Zapdos ex","ursiiday2"
"64561","Darkar","1","LOSS","TrainerElias",NA,"5-2-0drop","Dragonite Frosmoth","Machamp ex Marowak ex","ursiiday2"
"64571","Poliser","2","LOSS","Skorme",NA,"7-3-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","ursiiday2"
"64581","Poliser","1","LOSS","Lobocword2",NA,"1-2-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"64591","macro","2","LOSS","himazin",NA,"1-2-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"64601","macro","1","LOSS","Omniceph",NA,"7-3-0","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"64611","juanpe147","2","LOSS","Lunedo",NA,"1-2-0drop","Venusaur ex Exeggutor","Mewtwo ex Gardevoir","ursiiday2"
"64621","juanpe147","1","LOSS","Newmasaur",NA,"7-3-0","Venusaur ex Exeggutor","Pikachu ex Zebstrika","ursiiday2"
"64631","nivde","2","LOSS","Ruberi22",NA,"6-4-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","ursiiday2"
"64641","nivde","1","LOSS","figoahmad",NA,"3-4-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","ursiiday2"
"64651","Ninel","3","LOSS","akapelu",NA,"7-3-0","Arbok Weezing","Pikachu ex Zapdos ex","ursiiday2"
"64661","Ninel","2","LOSS","ttvLyFeSnipa",NA,"5-5-0","Arbok Weezing","Marowak ex Primeape","ursiiday2"
"64671","Ninel","1","LOSS","Himemiya",NA,"1-2-0drop","Arbok Weezing","Pikachu ex Zapdos ex","ursiiday2"
"64681","Matthew S","1","LOSS","MinatoRJ",NA,"3-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"64691","tiggischiggy","2","LOSS","poko0000",NA,"4-4-0drop","Exeggutor ex Farfetch'd","Mewtwo ex Gardevoir","ursiiday2"
"6470","tiggischiggy","1","LOSS","healer04z",NA,"2-2-0drop","Exeggutor ex Farfetch'd","Mewtwo ex Gardevoir","ursiiday2"
"64713","Xec","2","LOSS","Nagathor",NA,"3-3-0drop","Alakazam Weezing","Arbok Weezing","ursiiday2"
"64731","clbb12345","1","LOSS","Swimy",NA,"2-2-0drop","Greninja Weezing","Pikachu ex Zapdos ex","ursiiday2"
"64741","Croxaki","2","LOSS","Bodaum22",NA,"2-2-0drop","Kabutops Kangaskhan","Primeape Sandslash","ursiiday2"
"64751","Croxaki","1","LOSS","Disdai",NA,"3-3-0drop","Kabutops Kangaskhan","Pikachu ex Zapdos ex","ursiiday2"
"64761","chrixd","3","LOSS","TwoKayPie",NA,"6-4-0","Blastoise ex Meowth","Mewtwo ex Gardevoir","ursiiday2"
"64771","chrixd","2","LOSS","mochkro",NA,"2-2-0drop","Blastoise ex Meowth","Pikachu ex Zapdos ex","ursiiday2"
"64781","chrixd","1","LOSS","BrunoMonkey",NA,"4-6-0","Blastoise ex Meowth","Pikachu ex Zapdos ex","ursiiday2"
"64791","Conan1222","1","LOSS","minsu",NA,"3-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Hypno","ursiiday2"
"6480","Tauhjai49","1","LOSS","Rulacio",NA,"3-3-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","ursiiday2"
"64813","kingiocs","1","LOSS","kim",NA,"2-2-0drop","Mewtwo ex Gardevoir","Arbok Weezing","ursiiday2"
"64821","3dRes","1","LOSS","Snowpoints",NA,"5-5-0","Machamp ex Onix","Mewtwo ex Gardevoir","ursiiday2"
"64831","copperpot13","1","LOSS","joek0",NA,"3-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"64841","redflip","2","LOSS","prize",NA,"1-2-0drop","Articuno ex Lapras ex","Articuno ex Starmie ex","ursiiday2"
"64851","redflip","1","LOSS","manu1556",NA,"5-3-0drop","Articuno ex Lapras ex","Pikachu ex Zapdos ex","ursiiday2"
"64861","Gabb","2","LOSS","koji_pkpk",NA,"1-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"64871","Gabb","1","LOSS","Kaamix",NA,"7-3-0","Mewtwo ex Gardevoir","Charizard ex Moltres ex","ursiiday2"
"64881","Wolf_0","2","LOSS","Soul92",NA,"1-9-0","Pikachu ex Zapdos ex","Charizard ex Moltres ex","ursiiday2"
"64891","Wolf_0","1","LOSS","Inazashi",NA,"7-3-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"6490","Tobimaro","2","LOSS","Dicy",NA,"1-3-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","ursiiday2"
"64914","Tobimaro","1","LOSS","TDNmegane",NA,"7-3-0","Pikachu ex Zapdos ex","Pikachu ex Raichu","ursiiday2"
"64931","Uzura","2","LOSS","Reggo",NA,"4-2-0drop","Pikachu ex Zapdos ex","Arbok Weezing","ursiiday2"
"64941","Uzura","1","LOSS","olukq",NA,"4-4-0drop","Pikachu ex Zapdos ex","Machamp ex","ursiiday2"
"64951","Jessen Haliem","2","LOSS","windupbirdMitya",NA,"1-2-0drop","Pikachu ex Zapdos ex","Machamp ex Marowak ex","ursiiday2"
"64961","Jessen Haliem","1","LOSS","Random",NA,"3-2-0drop","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","ursiiday2"
"64971","Yuiitwitch","2","LOSS","Gomttuk",NA,"6-3-0drop","Articuno Dragonite","Pikachu ex Zapdos ex","ursiiday2"
"64981","Yuiitwitch","1","LOSS","erikitoh",NA,"1-6-0drop","Articuno Dragonite","Pikachu ex Zebstrika","ursiiday2"
"64991","Hermes","2","LOSS","Heppie",NA,"4-6-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"6500","Hermes","1","LOSS","t1al",NA,"3-3-0drop","Mewtwo ex Gardevoir","Articuno ex","ursiiday2"
"65015","eTToRe04","2","LOSS","BigPlanet26",NA,"5-5-0","Mewtwo ex Gardevoir","Pikachu ex Heliolisk","ursiiday2"
"65021","eTToRe04","1","LOSS","skateman222 ",NA,"2-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"65031","Adan13","1","LOSS","Leoner",NA,"4-5-0drop","Exeggutor ex Butterfree","Pikachu ex Zapdos ex","ursiiday2"
"65041","CorruptedData","3","LOSS","Sarinha",NA,"4-5-0drop","Zapdos ex Jolteon","Mewtwo ex Gardevoir","ursiiday2"
"65051","CorruptedData","2","LOSS","YomiDee",NA,"1-9-0drop","Zapdos ex Jolteon","Pikachu ex Zapdos ex","ursiiday2"
"65061","CorruptedData","1","LOSS","Brandovsk",NA,"6-4-0drop","Zapdos ex Jolteon","Mewtwo ex Gardevoir","ursiiday2"
"65071","Mossumami","1","LOSS","HoneybadgerV8",NA,"3-4-0drop","Bisharp Melmetal","Mewtwo ex Gardevoir","ursiiday2"
"65081","FallingtoVoid","2","LOSS","KyluKz",NA,"2-8-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","ursiiday2"
"65091","FallingtoVoid","1","LOSS","Supergodivan",NA,"6-4-0","Pikachu ex Electrode","Charizard ex Moltres ex","ursiiday2"
"65101","SnazzyRedd","2","LOSS","Traga",NA,"1-8-1","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","ursiiday2"
"651110","SnazzyRedd","1","LOSS","Riolucario",NA,"3-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","ursiiday2"
"65121","antarcticiteboy","2","LOSS","Botijo",NA,"1-9-0","Exeggutor ex Venusaur ex","Pikachu ex Raichu","ursiiday2"
"65131","antarcticiteboy","1","LOSS","Bintangbww",NA,"3-2-0drop","Exeggutor ex Venusaur ex","Pikachu ex Electrode","ursiiday2"
"65141","Lloda","2","LOSS","Moker1",NA,"5-5-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","ursiiday2"
